record_id,domain,clean_text,component,failure_type,cluster_id
000049,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000050,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000051,interior,Seat belt on the rear left is jammed and won't retract properly. !!! please fix this asap,seat belt,jammed,61
000052,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000053,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000054,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000055,interior,"AMBIENT LIGHTING FLICKERS RANDOMLY AT NIGHT, MOSTLY AROUND THE DASHBOARD AREA.",ambient lighting,,22
000056,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000057,interior,"The driver seat heater stopped working after 22 months, only the passenger side gets warm.",driver seat,,44
000058,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000059,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000060,interior,SUN VISOR ON THE DRIVER SIDE HANGS LOOSE AND WILL NOT STAY UP.,sun visor,loose,47
000061,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000062,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000063,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000064,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000065,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000066,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000067,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000068,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000069,interior,"The driver seat heater stopped working after 10 months, only the passenger side gets warm.",driver seat,,44
000070,interior,SUNROOF MAKES A LOUD RATTLING NOISE WHEN DRIVING OVER BUMPS.,sunroof,rattling,60
000071,interior,DASHBOARD CREAKS LOUDLY ESPECIALLY IN COLD WEATHER.,dashboard,,7
000072,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000073,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals. contact me at <EMAIL>,floor mat,,56
000074,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000075,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000076,interior,Power window switch on the front-right door is stuck and the window won't go down.,power window,stuck,62
000077,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000078,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000079,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000080,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000081,interior,Power window switch on the rear-right door is stuck and the window won't go down.,power window,stuck,62
000082,interior,FLOOR MAT ON THE DRIVER SIDE KEEPS SLIDING FORWARD AND BLOCKING THE PEDALS.,floor mat,,56
000083,interior,"The driver seat heater stopped working after 16 months, only the passenger side gets warm.",driver seat,,44
000084,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000085,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000086,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000087,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000088,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000089,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000090,interior,SUNROOF MAKES A LOUD RATTLING NOISE WHEN DRIVING OVER BUMPS.,sunroof,rattling,60
000091,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000092,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000093,interior,Power window switch on the front-left door is stuck and the window won't go down.,power window,stuck,62
000094,interior,Air conditioning blows warm air on the driver side even when set to cold. !!! please fix this asap,air conditioning,,45
000095,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000096,interior,Power window switch on the rear-left door is stuck and the window won't go down.,power window,stuck,62
000097,interior,The leather on the steering wheel is peeling after only 2 months.,steering wheel,peeling,42
000098,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000099,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000100,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000101,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000102,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000103,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000104,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000105,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000106,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000107,interior,Power window switch on the front-right door is stuck and the window won't go down.,power window,stuck,62
000108,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000109,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000110,interior,Power window switch on the rear-right door is stuck and the window won't go down. more info:,power window,stuck,62
000111,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000112,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000113,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000114,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000115,interior,Power window switch on the rear-left door is stuck and the window won't go down.,power window,stuck,62
000116,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000117,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000118,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000119,interior,POWER WINDOW SWITCH ON THE REAR-RIGHT DOOR IS STUCK AND THE WINDOW WON'T GO DOWN.,power window,stuck,62
000120,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000121,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000122,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000123,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000124,interior,The leather on the steering wheel is peeling after only 26 months.,steering wheel,peeling,42
000125,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000126,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000127,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000128,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000129,interior,HEADREST IN THE PASSENGER SEAT WILL NOT ADJUST UP OR DOWN.,headrest,,48
000130,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000131,interior,FLOOR MAT ON THE DRIVER SIDE KEEPS SLIDING FORWARD AND BLOCKING THE PEDALS.,floor mat,,56
000132,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000133,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000134,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000135,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000136,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000137,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000138,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000139,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000140,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000141,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000142,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000143,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000144,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000145,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000146,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000147,interior,DOOR LOCK ON THE REAR RIGHT DOOR CLICKS REPEATEDLY WHEN LOCKING.,door lock,,58
000148,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000149,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000150,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000151,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000152,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000153,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000154,interior,"The driver seat heater stopped working after 15 months, only the passenger side gets warm.",driver seat,,44
000155,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000156,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000157,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000158,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000159,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000160,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000161,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000162,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000163,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000164,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000165,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000166,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000167,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000168,interior,SIDE MIRROR DOES NOT FOLD AUTOMATICALLY WHEN LOCKING THE CAR.,side mirror,,53
000169,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000170,interior,"REAR SEAT HEATER IS UNRESPONSIVE ON THE LEFT SIDE, RIGHT SIDE WORKS FINE.",seat heater,unresponsive,54
000171,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000172,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000173,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000174,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000175,interior,Power window switch on the front-left door is stuck and the window won't go down.,power window,stuck,62
000176,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000177,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000178,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000179,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000180,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000181,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000182,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000183,interior,Seat belt on the rear left is jammed and won't retract properly. VIN: <VIN>,seat belt,jammed,61
000184,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000185,interior,Sunroof makes a loud rattling noise when driving over bumps. contact me at <EMAIL>,sunroof,rattling,60
000186,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000187,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000188,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000189,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000190,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000191,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000192,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000193,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000194,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000195,interior,"Rear seat heater is unresponsive on the left side, right side works fine. !!! please fix this asap",seat heater,unresponsive,54
000196,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000197,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000198,interior,Air conditioning blows warm air on the driver side even when set to cold. VIN: <VIN>,air conditioning,,45
000199,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000200,interior,Power window switch on the front-left door is stuck and the window won't go down.,power window,stuck,62
000201,interior,CABIN FILTER SMELLS MUSTY EVEN AFTER REPLACEMENT.,cabin filter,,57
000202,interior,"The driver seat heater stopped working after 17 months, only the passenger side gets warm.",driver seat,,44
000203,interior,"The driver seat heater stopped working after 8 months, only the passenger side gets warm.",driver seat,,44
000204,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000205,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000206,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000207,interior,"Trunk latch fails to release using the key fob, only manual opening works. !!! please fix this asap",trunk latch,,18
000208,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000209,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000210,interior,DOOR LOCK ON THE REAR RIGHT DOOR CLICKS REPEATEDLY WHEN LOCKING.,door lock,,58
000211,interior,Power window switch on the rear-left door is stuck and the window won't go down.,power window,stuck,62
000212,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000213,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000214,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000215,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000216,interior,The leather on the steering wheel is peeling after only 20 months.,steering wheel,peeling,42
000217,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000218,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000219,interior,"The driver seat heater stopped working after 28 months, only the passenger side gets warm.",driver seat,,44
000220,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000221,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000222,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000223,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000224,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000225,interior,"The driver seat heater stopped working after 6 months, only the passenger side gets warm.",driver seat,,44
000226,interior,The leather on the steering wheel is peeling after only 28 months. more info:,steering wheel,peeling,42
000227,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000228,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000229,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000230,interior,"The driver seat heater stopped working after 14 months, only the passenger side gets warm.",driver seat,,44
000231,interior,"Rear seat heater is unresponsive on the left side, right side works fine. !!! please fix this asap",seat heater,unresponsive,54
000232,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000233,interior,"GLOVE BOX LATCH IS BROKEN, THE LID KEEPS FALLING OPEN WHILE DRIVING.",glove box,broken,49
000234,interior,"Trunk latch fails to release using the key fob, only manual opening works. more info:",trunk latch,,18
000235,interior,"The driver seat heater stopped working after 31 months, only the passenger side gets warm.",driver seat,,44
000236,interior,"Rear seat heater is unresponsive on the left side, right side works fine. more info:",seat heater,unresponsive,54
000237,interior,"The driver seat heater stopped working after 20 months, only the passenger side gets warm.",driver seat,,44
000238,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000239,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000240,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000241,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000242,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000243,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000244,interior,Cabin filter smells musty even after replacement. contact me at <EMAIL>,cabin filter,,57
000245,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000246,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000247,interior,FLOOR MAT ON THE DRIVER SIDE KEEPS SLIDING FORWARD AND BLOCKING THE PEDALS.,floor mat,,56
000248,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000249,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000250,interior,Headrest in the passenger seat will not adjust up or down. VIN: <VIN>,headrest,,48
000251,interior,READING LIGHT OVER THE REAR SEAT DOES NOT TURN ON AT ALL.,reading light,,52
000252,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000253,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000254,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000255,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000256,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000257,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000258,interior,"The driver seat heater stopped working after 31 months, only the passenger side gets warm.",driver seat,,44
000259,interior,The leather on the steering wheel is peeling after only 36 months.,steering wheel,peeling,42
000260,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000261,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000262,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000263,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000264,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000265,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000266,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000267,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000268,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000269,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000270,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000271,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000272,interior,"Rear seat heater is unresponsive on the left side, right side works fine.",seat heater,unresponsive,54
000273,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000274,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000275,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000276,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000277,interior,Power window switch on the rear-left door is stuck and the window won't go down.,power window,stuck,62
000278,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000279,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000280,interior,Power window switch on the rear-right door is stuck and the window won't go down.,power window,stuck,62
000281,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000282,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000283,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000284,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000285,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000286,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000287,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000288,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000289,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000290,interior,"Glove box latch is broken, the lid keeps falling open while driving. VIN: <VIN>",glove box,broken,49
000291,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000292,interior,Side mirror does not fold automatically when locking the car.,side mirror,,53
000293,interior,Side mirror does not fold automatically when locking the car. !!! please fix this asap,side mirror,,53
000294,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000295,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000296,interior,Sun visor on the driver side hangs loose and will not stay up. !!! please fix this asap,sun visor,loose,47
000297,interior,"Ambient lighting flickers randomly at night, mostly around the dashboard area.",ambient lighting,,22
000298,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000299,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000300,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000301,interior,"The driver seat heater stopped working after 18 months, only the passenger side gets warm.",driver seat,,44
000302,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000303,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000304,interior,The leather on the steering wheel is peeling after only 5 months.,steering wheel,peeling,42
000305,interior,"The driver seat heater stopped working after 9 months, only the passenger side gets warm. !!! please fix this asap",driver seat,,44
000306,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000307,interior,"The driver seat heater stopped working after 4 months, only the passenger side gets warm.",driver seat,,44
000308,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000309,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000310,interior,Air conditioning blows warm air on the driver side even when set to cold.,air conditioning,,45
000311,interior,"Glove box latch is broken, the lid keeps falling open while driving.",glove box,broken,49
000312,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000313,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000314,interior,"TRUNK LATCH FAILS TO RELEASE USING THE KEY FOB, ONLY MANUAL OPENING WORKS.",trunk latch,,18
000315,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000316,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000317,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000318,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000319,interior,Sunroof makes a loud rattling noise when driving over bumps.,sunroof,rattling,60
000320,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000321,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000322,interior,"Glove box latch is broken, the lid keeps falling open while driving. more info:",glove box,broken,49
000323,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000324,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000325,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000326,interior,Seat belt on the rear left is jammed and won't retract properly.,seat belt,jammed,61
000327,interior,Dashboard creaks loudly especially in cold weather.,dashboard,,7
000328,interior,Cup holder in the center console is cracked and no longer holds bottles securely.,cup holder,cracked,5
000329,interior,Seat belt on the rear left is jammed and won't retract properly. !!! please fix this asap,seat belt,jammed,61
000330,interior,Cabin filter smells musty even after replacement.,cabin filter,,57
000331,interior,Reading light over the rear seat does not turn on at all.,reading light,,52
000332,interior,Sun visor on the driver side hangs loose and will not stay up.,sun visor,loose,47
000333,interior,Headrest in the passenger seat will not adjust up or down.,headrest,,48
000334,interior,Floor mat on the driver side keeps sliding forward and blocking the pedals.,floor mat,,56
000335,interior,Seat ventilation makes a high-pitched whining noise.,seat ventilation,noise,59
000336,interior,"Trunk latch fails to release using the key fob, only manual opening works.",trunk latch,,18
000337,interior,Door lock on the rear right door clicks repeatedly when locking.,door lock,,58
000338,interior,The leather on the steering wheel is peeling after only 36 months. VIN: <VIN>,steering wheel,peeling,42
